Name,Link
"Ученикам и учителям школы № 201, погибшим за Родину в годы Великой Отечественной войны",https://um.mos.ru/monuments/uchenikam-i-uchitelyam-shkoly-201-pogibshim-za-rodinu-v-gody-velikoy-otechestvennoy-voyny/
Весть,https://um.mos.ru/monuments/vest/
Военным контрразведчикам,https://um.mos.ru/monuments/voennym-kontrrazvedchikam/
Реквием-1941,https://um.mos.ru/monuments/rekviem-1941/
Благословенна в веках дружба народов России и Армении!,https://um.mos.ru/monuments/blagoslovenna-v-vekakh-druzhba-narodov-rossii-i-armenii/
Первый русский гвардеец Преображенского полка Бухвостов С. Л.,https://um.mos.ru/monuments/pervyy-russkiy-gvardeets-preobrazhenskogo-polka-bukhvostov-s-l/
«9 мая»,https://um.mos.ru/monuments/9-maya/
Голуби мира,https://um.mos.ru/monuments/golubi-mira/
Боткин С. П.,https://um.mos.ru/monuments/botkin-s-p/
Целиков А. И.,https://um.mos.ru/monuments/tselikov-a-i/
Дзержинский Ф. Э.,https://um.mos.ru/monuments/dzerzhinskiy-f-e/
Парис и Елена,https://um.mos.ru/monuments/paris-i-elena/
Циолковский К. Э.,https://um.mos.ru/monuments/tsiolkovskiy-k-e/
"Мужчина, женщина и ребенок с деревом",https://um.mos.ru/monuments/muzhchina-zhenshchina-i-rebenok-s-derevom/
Памятник хирургу А.В. Вишневскому,https://um.mos.ru/monuments/pamyatnik-khirurgu-a-v-vishnevskomu/
Скульптурные композиции жилых домов на площади Гагарина,https://um.mos.ru/monuments/skulpturnye-kompozitsii-zhilykh-domov-na-ploshchadi-gagarina/
Памятник Гнесиной Е. Ф.,https://um.mos.ru/monuments/gnesina-e-f/
Н.П. Шмит,https://um.mos.ru/monuments/n-p-shmit/
Филатов Н. Ф.,https://um.mos.ru/monuments/filatov-n-f/
Эрнст Тельман,https://um.mos.ru/monuments/ernst-telman/
Толстой Л. Н.,https://um.mos.ru/monuments/tolstoy-l-n-dp/
Эрисман Ф. Ф.,https://um.mos.ru/monuments/erisman-f-f/
Толстой Л. Н.,https://um.mos.ru/monuments/tolstoy-l-n/
"Михайлов Е. В. (летчик, Герой Советского Союза)",https://um.mos.ru/monuments/mikhaylov-e-v-letchik-geroy-sovetskogo-soyuza/
Александр II,https://um.mos.ru/monuments/aleksandr-ii/
Александров А. В.,https://um.mos.ru/monuments/aleksandrov-a-v/
Мухина В. И.,https://um.mos.ru/monuments/mukhina-v-i/
Памятник маршалу Ф.И. Толбухину,https://um.mos.ru/monuments/pamyatnik-marshalu-f-i-tolbukhinu/
Памятник на могиле В. Р. Вильямса,https://um.mos.ru/monuments/pamyatnik-na-mogile-v-r-vilyamsa/
Шарль де Голль,https://um.mos.ru/monuments/sharl-de-goll/
Бюст революционера П.Г. Добрынина,https://um.mos.ru/monuments/byust-revolyutsionera-p-g-dobrynina/
Гайдар А. П.,https://um.mos.ru/monuments/gaydar-a-p-uvao/
Памятник В.Ф.Маргелову,https://um.mos.ru/monuments/pamyatnik-v-f-margelovu/
"Памятный знак, посвященный жертвам террористического акта в Театральном  центре на Дубровке в октябре 2002 г.",https://um.mos.ru/monuments/pamyatnyy-znak-posvyashchennyy-zhertvam-terroristicheskogo-akta-v-teatralnom-tsentre-na-dubrovke-v-o/
Годовиков С. К.,https://um.mos.ru/monuments/godovikov-s-k-/
Строев Н. С.,https://um.mos.ru/monuments/stroev-n-s/
Космодемьянские Зоя и Александр,https://um.mos.ru/monuments/kosmodemyanskie-zoya-i-aleksandr/
Памятник-склеп семьи Гучковых,https://um.mos.ru/monuments/pamyatnik-sklep-semi-guchkovykh/
Суриков В. И.,https://um.mos.ru/monuments/surikov-v-i/
Памятник В.В. Воровскому,https://um.mos.ru/monuments/pamyatnik-v-v-vorovskomu/
Врата Победы,https://um.mos.ru/monuments/vrata-pobedy/
Стела «Журавли нашей памяти»,https://um.mos.ru/monuments/stela-zhuravli-nashey-pamyati/
Радио-башня Шухова,https://um.mos.ru/monuments/radio-bashnya-shukhova/
"Памятник воинам, отстоявшим мир и свободу в борьбе с фашизмом",https://um.mos.ru/monuments/pamyatnik-voinam-otstoyavshim-mir-i-svobodu-v-borbe-s-fashizmom/
Всем павшим за Отечество,https://um.mos.ru/monuments/vsem-pavshim-za-otechestvo/
Памятный знак «Часовенный столб»,https://um.mos.ru/monuments/pamyatnyy-znak-chasovennyy-stolb/
Ф.М. Мантулин,https://um.mos.ru/monuments/f-m-mantulin-/
Воинам-медикам,https://um.mos.ru/monuments/voinam-medikam/
Бюст М.В. Фрунзе,https://um.mos.ru/monuments/pamyatnik-m-v-frunze/
Краснобаев Т. П.,https://um.mos.ru/monuments/krasnobaev-t-p/
Вечная память героям,https://um.mos.ru/monuments/vechnaya-pamyat-geroyam/
Дзержинский Ф. Э.,https://um.mos.ru/monuments/dzerzhinskiy-f-e-alekseevskaya/
Погибшим выпускникам и учащимся школы N 1240 в Великой Отечественной войне 1941-1945 гг.,https://um.mos.ru/monuments/pogibshim-vypusknikam-i-uchashchimsya-shkoly-n-1240-v-velikoy-otechestvennoy-voyne-1941-1945-gg/
Комаров В. М.,https://um.mos.ru/monuments/komarov-v-m---/
Мемориал Славы,https://um.mos.ru/monuments/memorial-slavy/
Ленин В. И.,https://um.mos.ru/monuments/lenin-v-i-olump/
Купание лошадей,https://um.mos.ru/monuments/kupanie-loshadey/
Снегирев В. Ф.,https://um.mos.ru/monuments/snegirev-v-f/
Жуковский Н. Е.,https://um.mos.ru/monuments/zhukovskiy-n-e-tip/
Фигурный фонтан,https://um.mos.ru/monuments/figurnyy-fontan/
Бюст В.М. Комарова,https://um.mos.ru/monuments/byust-v-m-komarova/
Памятник Димитрию Донскому,https://um.mos.ru/monuments/pamyatnik-dimitriyu-donskomu/
"Памятный знак в честь военнослужащих, погибших в мирное время при защите интересов России",https://um.mos.ru/monuments/pamyatnyy-znak-v-chest-voennosluzhashchikh-pogibshikh-v-mirnoe-vremya-pri-zashchite-interesov-rossii/
Фрунзе М. В.,https://um.mos.ru/monuments/frunze-m-v/
Святителю Алексию — митрополиту Московскому и Всея Руси,https://um.mos.ru/monuments/svyatitelyu-aleksiyu-mitropolitu-moskovskomu-i-vseya-rusi/
Юрьев Б. Н.,https://um.mos.ru/monuments/yurev-b-n/
"Мальчик, делающий «колесо», — символ Дюссельдорфа",https://um.mos.ru/monuments/malchik-delayushchiy-koleso-simvol-dyusseldorfa/
"Преподавателям и студентам МАДИ, погибшим в Великой Отечественной войне",https://um.mos.ru/monuments/prepodavatelyam-i-studentam-madi-po-gibshim-v-velikoy-otechestvennoy-voyne/
Бюст М.В. Фрунзе,https://um.mos.ru/monuments/byust-m-v-frunze/
